User_ID,Name,Zone,User_Type,Total_Orders,Phone_Number
USR-1372,محمود زكي,التجمع الخامس,B2C (أفراد),5,114455372
USR-1373,سيد السايس,الشيخ زايد,B2C (أفراد),4,128899373
USR-1374,طارق إبراهيم,المعادي,B2C (أفراد),7,101122374
USR-1375,خالد العطار,6 أكتوبر,B2C (أفراد),3,122233375
USR-1376,وليد الجوهري,مدينتي,B2C (أفراد),1,150011376
USR-1377,رامي القاضي,مصر الجديدة,B2C (أفراد),6,109988377
USR-1378,مصطفى السعيد,الشروق,B2C (أفراد),4,118877378
USR-1379,عصام زهران,التجمع الخامس,B2C (أفراد),2,127766379
USR-1380,حسن المليجي,الشيخ زايد,B2C (أفراد),5,103322380
USR-1381,كريم بركات,المعادي,B2C (أفراد),8,101234381
USR-1382,ياسر فوزي,6 أكتوبر,B2C (أفراد),3,112345382
USR-1383,عمر فتح الله,مدينتي,B2C (أفراد),2,123456383
USR-1384,ماجد عبد الرازق,مصر الجديدة,B2C (أفراد),6,109876384
USR-1385,وائل مصطفى,الشروق,B2C (أفراد),1,155123385
USR-1386,إبراهيم النحاس,التجمع الخامس,B2C (أفراد),7,111987386
USR-1387,سامح عبد الوهاب,الشيخ زايد,B2C (أفراد),4,122334387
USR-1388,حازم الشيمي,المعادي,B2C (أفراد),2,103344388
USR-1389,علاء فكري,6 أكتوبر,B2C (أفراد),5,120099389
USR-1390,تامر النبراوي,مدينتي,B2C (أفراد),3,155443390
USR-1391,علي درويش,مصر الجديدة,B2C (أفراد),8,106677391
USR-1392,إسلام الجزار,الشروق,B2C (أفراد),2,114455392
USR-1393,أيمن الشربيني,التجمع الخامس,B2C (أفراد),4,128899393
USR-1394,أسامة زكي,الشيخ زايد,B2C (أفراد),1,101122394
USR-1395,مدحت القيعي,المعادي,B2C (أفراد),6,122233395
USR-1396,ضياء العبد,6 أكتوبر,B2C (أفراد),3,150011396
USR-1397,أشرف صابر,مدينتي,B2C (أفراد),7,109988397
USR-1398,شعبان عبد القادر,مصر الجديدة,B2C (أفراد),2,118877398
USR-1399,رمضان جاد,الشروق,B2C (أفراد),5,127766399
USR-1400,شادي القاضي,التجمع الخامس,B2C (أفراد),4,103322400
USR-1401,عبد الله حلمي,الشيخ زايد,B2C (أفراد),8,101234401
USR-1402,عبد الرحمن زاهر,المعادي,B2C (أفراد),3,112345402
USR-1403,صلاح الجابري,6 أكتوبر,B2C (أفراد),2,123456403
USR-1404,جمال الشيمي,مدينتي,B2C (أفراد),6,109876404
USR-1405,حسين خليل,مصر الجديدة,B2C (أفراد),1,155123405
USR-1406,عطية القيعي,الشروق,B2C (أفراد),5,111987406
USR-1407,سليمان الهادي,التجمع الخامس,B2C (أفراد),4,122334407
USR-1408,فراج إبراهيم,الشيخ زايد,B2C (أفراد),4,103344408
USR-1409,السعيد جاد الله,المعادي,B2C (أفراد),2,120099409
USR-1410,خليل توفيق,6 أكتوبر,B2C (أفراد),3,155443410
USR-1411,حمزة الجندي,مدينتي,B2C (أفراد),8,106677411
USR-1412,محسن بركات,مصر الجديدة,B2C (أفراد),1,114455412
USR-1413,توفيق زهران,الشروق,B2C (أفراد),6,128899413
USR-1414,باسم عبد السلام,التجمع الخامس,B2C (أفراد),4,101122414
USR-1415,هاني صبري,الشيخ زايد,B2C (أفراد),2,122233415
USR-1416,زياد الباشا,المعادي,B2C (أفراد),5,150011416
USR-1417,عماد عبد الحليم,6 أكتوبر,B2C (أفراد),3,109988417
USR-1418,مجدي عبد المجيد,مدينتي,B2C (أفراد),2,118877418
USR-1419,أكرم فكري,مصر الجديدة,B2C (أفراد),2,127766419
USR-1420,سعيد الشامي,الشروق,B2C (أفراد),4,103322420
USR-1421,منتصر الجمال,التجمع الخامس,B2C (أفراد),1,101234421
USR-1422,رضا الفقي,الشيخ زايد,B2C (أفراد),1,112345422
USR-1423,صفوت المليجي,المعادي,B2C (أفراد),6,123456423
USR-1424,شريف الجوهري,6 أكتوبر,B2C (أفراد),3,109876424
USR-1425,ممدوح النحاس,مدينتي,B2C (أفراد),5,155123425
USR-1426,أحمد السويفي,مصر الجديدة,B2C (أفراد),2,111987426
USR-1427,محمد العشري,الشروق,B2C (أفراد),7,122334427
USR-1428,محمود الجابري,التجمع الخامس,B2C (أفراد),4,103344428
USR-1429,سيد الصاوي,الشيخ زايد,B2C (أفراد),1,120099429
USR-1430,طارق بركات,المعادي,B2C (أفراد),6,155443430
USR-1431,خالد فوزي,6 أكتوبر,B2C (أفراد),3,106677431
USR-1432,وليد البدري,مدينتي,B2C (أفراد),8,114455432
USR-1433,رامي النجار,مصر الجديدة,B2C (أفراد),2,128899433
USR-1434,مصطفى الجمل,الشروق,B2C (أفراد),5,101122434
USR-1435,عصام سلامة,التجمع الخامس,B2C (أفراد),4,122233435
USR-1436,حسن السقا,الشيخ زايد,B2C (أفراد),7,150011436
USR-1437,كريم عبد المنعم,المعادي,B2C (أفراد),1,109988437
USR-1438,ياسر بدر الدين,6 أكتوبر,B2C (أفراد),6,118877438
USR-1439,عمر القيعي,مدينتي,B2C (أفراد),3,127766439
USR-1440,ماجد حماد,مصر الجديدة,B2C (أفراد),5,103322440
USR-1441,وائل الزيني,الشروق,B2C (أفراد),2,101234441
USR-1442,إبراهيم صابر,التجمع الخامس,B2C (أفراد),8,112345442
USR-1443,سامح بسيوني,الشيخ زايد,B2C (أفراد),4,123456443
USR-1444,حازم البدراوي,المعادي,B2C (أفراد),1,109876444
USR-1445,علاء الدين الثاني,6 أكتوبر,B2C (أفراد),6,155123445
USR-1446,تامر زهران,مدينتي,B2C (أفراد),3,111987446
USR-1447,علي القاضي,مصر الجديدة,B2C (أفراد),7,122334447
USR-1448,إسلام جلال,الشروق,B2C (أفراد),2,103344448
USR-1449,أيمن فتح الله,التجمع الخامس,B2C (أفراد),5,120099449
USR-1450,أسامة حمودة,الشيخ زايد,B2C (أفراد),4,155443450
USR-1451,مدحت فاروق,المعادي,B2C (أفراد),8,106677451
USR-1452,ضياء الشيمي,6 أكتوبر,B2C (أفراد),1,114455452
USR-1453,أشرف زكريا,مدينتي,B2C (أفراد),6,128899453
USR-1454,شعبان الجمال,مصر الجديدة,B2C (أفراد),3,101122454
USR-1455,رمضان البنا,الشروق,B2C (أفراد),5,122233455
USR-1456,شادي توفيق,التجمع الخامس,B2C (أفراد),2,150011456
USR-1457,عبد الله فؤاد,الشيخ زايد,B2C (أفراد),7,109988457
USR-1458,عبد الرحمن النحاس,المعادي,B2C (أفراد),4,118877458
USR-1459,صلاح جاد,6 أكتوبر,B2C (أفراد),1,127766459
USR-1460,جمال فكري,مدينتي,B2C (أفراد),6,103322460
USR-1461,حسين صبري,مصر الجديدة,B2C (أفراد),3,101234461
USR-1462,عطية القاضي,الشروق,B2C (أفراد),8,112345462
USR-1463,سليمان الباشا,التجمع الخامس,B2C (أفراد),2,123456463
USR-1464,فراج عبد الجواد,الشيخ زايد,B2C (أفراد),5,109876464
USR-1465,السعيد زكي,المعادي,B2C (أفراد),4,155123465
USR-1466,خليل القيعي,6 أكتوبر,B2C (أفراد),7,111987466
USR-1467,حمزة الصاوي,مدينتي,B2C (أفراد),1,122334467
USR-1468,محسن جابر,مصر الجديدة,B2C (أفراد),6,103344468
USR-1469,توفيق الجندي,الشروق,B2C (أفراد),3,120099469
USR-1470,باسم الخولي,التجمع الخامس,B2C (أفراد),5,155443470
USR-1471,هاني الهواري,الشيخ زايد,B2C (أفراد),2,106677471
USR-1472,زياد الشامي,المعادي,B2C (أفراد),8,114455472
USR-1473,عماد السويفي,6 أكتوبر,B2C (أفراد),4,128899473
USR-1474,مجدي الباشا,مدينتي,B2C (أفراد),1,101122474
USR-1475,أكرم العايدي,مصر الجديدة,B2C (أفراد),6,122233475
USR-1476,سعيد النبراوي,الشروق,B2C (أفراد),3,150011476
USR-1477,منتصر عبد العاطي,التجمع الخامس,B2C (أفراد),7,109988477
USR-1478,رضا حلمي,الشيخ زايد,B2C (أفراد),2,118877478
USR-1479,صفوت الشاذلي,المعادي,B2C (أفراد),5,127766479
USR-1480,شريف صابر,6 أكتوبر,B2C (أفراد),4,103322480
USR-1481,ممدوح درويش,مدينتي,B2C (أفراد),8,101234481
USR-1482,أحمد البشري,مصر الجديدة,B2C (أفراد),1,112345482
USR-1483,محمد الجابري,الشروق,B2C (أفراد),6,123456483
USR-1484,محمود عبد الخالق,التجمع الخامس,B2C (أفراد),3,109876484
USR-1485,سيد مرعي,الشيخ زايد,B2C (أفراد),5,155123485
USR-1486,طارق الزيني,المعادي,B2C (أفراد),2,111987486
USR-1487,خالد بسيوني,6 أكتوبر,B2C (أفراد),7,122334487
USR-1488,وليد سلامة,مدينتي,B2C (أفراد),4,103344488
USR-1489,رامي الشيمي,مصر الجديدة,B2C (أفراد),1,120099489
USR-1490,مصطفى زكريا,الشروق,B2C (أفراد),6,155443490
USR-1491,عصام درويش,التجمع الخامس,B2C (أفراد),3,106677491
USR-1492,حسن عبد الوهاب,الشيخ زايد,B2C (أفراد),8,114455492
USR-1493,كريم الجوهري,المعادي,B2C (أفراد),2,128899493
USR-1494,ياسر العشري,6 أكتوبر,B2C (أفراد),5,101122494
USR-1495,عمر الباشا,مدينتي,B2C (أفراد),4,122233495
USR-1496,ماجد الشربيني,مصر الجديدة,B2C (أفراد),7,150011496
USR-1497,وائل الجزار,الشروق,B2C (أفراد),1,109988497
USR-1498,إبراهيم صيام,التجمع الخامس,B2C (أفراد),6,118877498
USR-1499,سامح القاضي,الشيخ زايد,B2C (أفراد),3,127766499
USR-1500,شركة المستقبل للتوريدات,الشروق,B2B (شركات),11,1150000500
